Algorithm: Betweenness Centrality
Vertex Centrality
0 0.00
1 299.38
2 153.88
3 120.25
4 123.95
5 159.78
6 213.78
7 523.68
8 90.57
9 64.54
10 100.81
11 282.91
12 269.73
13 52.73
14 59.83
15 587.53
16 415.27
17 331.27
18 247.27
19 165.52
20 98.50
21 66.98
22 80.07
23 138.57
24 221.73
25 305.73
26 389.73
27 599.53
28 263.30
29 352.33
30 57.25
31 65.45
32 546.57
33 896.70
34 324.95
35 437.20
36 201.05
37 187.71
38 346.93
39 818.54
40 293.46
41 335.12
42 126.47
43 104.55
44 126.63
45 317.82
46 100.02
47 48.80
48 47.37
49 106.85
50 626.00
51 513.28
52 802.18
53 1029.42
54 159.55
55 129.05
56 137.72
57 621.52
58 817.67
59 465.32
60 653.42
61 444.65
62 186.95
63 125.48
64 96.07
65 111.98
66 160.57
67 456.30
68 369.00
69 677.63
70 417.83
71 68.60
72 160.98
73 27.48
74 2.00
75 70.52
76 359.22
77 606.18
78 496.37
79 384.10
80 302.43
81 226.22
82 164.17
83 118.87
84 100.82
85 121.40
86 176.73
87 253.57
88 335.90
89 561.80
90 118.15
91 76.33
92 87.10
93 141.68
94 404.20
95 275.97
96 851.78
97 432.43
98 749.75
99 492.10
Execution time: 3.14 ms
