Algorithm: FastMap
Target dimensions: 2
Pivots per dimension:
Dim 1: 6115 4085
Dim 2: 8062 7500
Object coordinates:
0: 138.495843 123.244522
1: 74.446012 108.669870
2: 73.603032 91.136435
3: 65.465256 77.997838
4: 47.396384 92.044488
5: 135.588618 120.886569
6: 91.186843 94.071738
7: 127.957822 53.754179
8: 127.482968 106.111243
9: 74.554760 104.395659
10: 94.493617 142.429549
11: 130.570042 92.046464
12: 95.464542 159.088862
13: 118.945273 81.787349
14: 158.670879 71.580267
15: 30.103669 98.639000
16: 102.413241 86.869229
17: 118.778668 89.774150
18: 49.499630 83.880582
19: 56.778177 106.163403
20: 142.644438 116.774447
21: 49.163152 104.548137
22: 130.390404 152.508027
23: 122.799096 92.743211
24: 70.336156 113.454787
25: 92.889747 115.564452
26: 122.996120 83.050087
27: 71.269394 103.208412
28: 119.954203 116.216062
29: 83.200240 58.790238
30: 77.125661 135.462947
31: 85.876968 84.400309
32: 88.344773 110.777573
33: 80.010246 124.606293
34: 15.430807 118.064762
35: 67.667966 33.714668
36: 136.309323 110.165789
37: 100.281914 114.160526
38: 118.178299 65.920117
39: 43.771938 103.167874
40: 129.256239 77.188516
41: 131.030663 37.467341
42: 70.072935 37.356578
43: 88.728579 99.919556
44: 102.665991 57.054656
45: 24.179497 67.259764
46: 96.541466 117.621235
47: 129.319235 39.470582
48: 85.960226 63.637834
49: 126.379347 109.690747
50: 102.820923 62.136797
51: 63.939609 102.837715
52: 93.311127 94.978199
53: 109.220535 64.890877
54: 145.818718 80.462124
55: 134.649311 107.202797
56: 95.120387 25.878948
57: 95.591887 150.291974
58: 92.098067 82.502542
59: 28.767443 121.123244
60: 131.789632 135.717228
61: 125.806955 86.491716
62: 91.332933 80.438969
63: 114.085465 84.256876
64: 74.614838 91.395994
65: 78.678961 126.487644
66: 75.378914 77.761595
67: 81.550935 105.314116
68: 137.349676 101.919104
69: 98.155598 86.627628
70: 87.753498 53.916055
71: 155.932932 40.892835
72: 132.247756 68.609941
73: 107.647492 139.225847
74: 101.073087 130.778216
75: 54.229403 124.211745
76: 120.159113 97.334485
77: 97.946543 66.121064
78: 65.494419 57.350485
79: 115.267069 98.729779
80: 104.574652 81.848161
81: 80.969787 114.109380
82: 67.134597 112.887828
83: 98.408916 61.544547
84: 109.151640 82.761641
85: 110.649557 57.903262
86: 100.339926 91.920683
87: 107.515272 80.725123
88: 70.936002 149.098082
89: 79.319990 46.082524
90: 159.816082 96.308056
91: 126.934674 125.366909
92: 92.736223 92.816255
93: 98.467434 51.889087
94: 111.395311 162.295492
95: 90.295952 133.096830
96: 112.710234 122.461841
97: 157.175586 82.707079
98: 109.738996 78.864206
99: 84.853416 97.301745
100: 111.632306 112.188184
101: 72.837213 79.289261
102: 99.148927 45.902386
103: 134.308304 117.769183
104: 82.421854 92.795605
105: 84.048548 126.875405
106: 99.309868 108.881576
107: 107.140199 90.897439
108: 54.005473 51.417216
109: 70.546410 82.864053
110: 71.013922 89.654642
111: 102.098977 79.762230
112: 18.662567 111.282100
113: 179.686277 106.456758
114: 70.284627 80.969877
115: 20.034617 93.198974
116: 63.091300 95.315905
