Algorithm: FastMap
Target dimensions: 3
Pivots per dimension:
Dim 1: 2908 4567
Dim 2: 2040 4909
Dim 3: 4672 4180
Object coordinates:
0: 155.896605 106.763916 100.716957
1: 116.045422 129.247960 84.833086
2: 78.557024 144.654647 87.175189
3: 98.704914 74.886601 120.953425
4: 126.290507 107.891783 126.745103
5: 140.496078 97.228501 133.123560
6: 77.732519 89.936101 147.769976
7: 107.208353 100.898291 76.192350
8: 134.332969 133.278017 88.445520
9: 105.955692 95.235293 48.430179
10: 95.484280 77.565579 37.788301
11: 82.815070 108.962700 105.294236
12: 73.183148 109.806040 61.266086
13: 79.867442 110.441960 80.996584
14: 86.107750 72.081092 133.795888
15: 103.288958 145.198206 121.964058
16: 93.496471 89.791576 81.458063
17: 84.241103 18.642240 104.004026
18: 73.352877 111.296882 74.055085
19: 139.564882 80.771409 76.101476
20: 115.164754 86.517093 122.279411
21: 96.129853 87.758973 97.412024
22: 56.613886 108.233037 67.648744
23: 167.487606 107.390289 79.891805
24: 139.939336 105.825867 86.345816
25: 56.798544 98.817835 38.254427
26: 129.314854 83.095923 135.103209
27: 29.993898 101.525854 84.593951
28: 88.371499 58.259174 69.584183
29: 92.616523 129.810294 74.673639
30: 150.397419 90.417142 102.751505
31: 68.692961 44.897831 61.298103
32: 69.859150 90.094851 159.269522
33: 105.670474 86.812593 118.213921
34: 94.104238 104.494248 96.490783
35: 50.754587 132.356251 101.813616
36: 114.562785 73.146163 72.878380
37: 97.094404 103.322936 136.113137
38: 30.767300 141.487628 81.952255
39: 94.002092 29.953747 85.321356
40: 91.159417 151.403781 78.617660
41: 82.862344 167.777736 102.236042
42: 59.767654 94.088815 75.370678
43: 117.792714 98.459181 123.857754
44: 64.921587 161.341098 104.554937
45: 154.538579 127.309949 98.272218
46: 111.345197 105.307018 54.385957
47: 94.828854 104.255497 55.846180
48: 149.688180 132.327589 103.544729
49: 121.883328 140.911472 52.664435
50: 125.941924 121.607764 47.106150
51: 63.602748 96.803022 59.999810
52: 101.901656 148.667885 107.414643
53: 54.247343 141.855225 88.620063
54: 70.731142 103.148951 66.960068
55: 99.104551 94.359259 83.298740
56: 56.937000 67.257184 93.628975
57: 117.191314 98.827060 100.833561
58: 44.848474 55.313037 87.411614
59: 50.804477 125.906922 125.148617
60: 127.371603 82.862356 126.031748
61: 72.169931 85.992649 111.604420
62: 37.593525 128.959069 87.063128
63: 104.183951 113.898410 123.948269
64: 69.764030 107.083115 52.161997
65: 86.756118 80.388916 113.926665
66: 96.531120 87.008428 39.038484
67: 55.897681 49.721301 114.424873
68: 68.770082 52.604906 110.913417
69: 71.362306 149.691101 97.853377
70: 60.278153 81.240389 92.845166
71: 109.560746 115.201158 67.923567
72: 81.098007 58.941534 84.608824
73: 99.603419 132.160193 55.787234
74: 94.835651 87.425102 88.820275
75: 80.777409 61.784694 92.275367
76: 94.591609 18.861522 98.741872
77: 51.403001 123.448260 111.995726
78: 47.663345 101.142512 76.093009
79: 109.355887 157.127150 89.169495
80: 65.715871 82.232416 78.389547
81: 95.163415 95.965663 141.778945
82: 141.907850 126.789907 117.268651
83: 105.901253 52.121542 71.454291
84: 30.073279 106.000980 107.100490
85: 85.551536 93.337781 131.589121
86: 79.327247 122.302428 34.923269
87: 87.397497 107.548330 128.201848
88: 77.979728 114.552624 57.923988
89: 74.274694 40.933270 113.199433
90: 111.549765 79.096365 50.117942
91: 36.221287 109.195493 81.972389
92: 95.944688 106.119498 12.252892
93: 112.143427 101.739579 121.058246
94: 123.797603 130.848892 74.722709
95: 47.200410 73.047586 56.212147
96: 79.715745 153.100415 105.621591
97: 84.178629 74.666750 58.479287
98: 159.616219 68.020973 114.805778
99: 140.215929 73.930202 84.618464
100: 115.310820 93.136218 81.512906
101: 67.695639 40.833772 127.660277
102: 122.109343 120.408013 126.014774
103: 99.135684 83.037710 38.496116
104: 124.547789 108.341350 65.085320
105: 73.760027 108.101221 89.272404
106: 70.407882 56.179437 51.683018
107: 75.303217 86.906607 105.443007
108: 19.123498 86.161336 86.196696
109: 111.982016 81.368863 86.546841
110: 80.783151 50.811039 75.735881
111: 122.964465 140.187149 139.936786
112: 98.763695 103.772410 166.666838
113: 140.949046 130.795689 132.763268
114: 86.412010 74.219285 105.778136
115: 118.743827 104.929700 128.178805
116: 59.369875 72.653552 74.638955
117: 91.361705 97.654430 123.892024
118: 103.584587 69.600262 61.991357
119: 100.465666 120.952861 85.115451
120: 123.622130 126.457903 29.228889
121: 107.003099 63.426391 141.932160
122: 93.038098 123.238711 77.708966
123: 117.227340 116.870112 100.399568
124: 142.197684 132.424363 88.932803
125: 127.530032 128.409873 105.073353
126: 88.197380 54.855949 108.069133
127: 133.376554 40.518301 58.421443
128: 112.879429 45.597815 98.561597
129: 122.729591 101.353063 131.115859
130: 95.162441 105.212225 35.802547
131: 90.376153 83.111703 88.230684
132: 59.318195 45.569071 93.219781
133: 64.378729 70.991167 40.552729
134: 79.716292 119.665858 62.898150
135: 115.801281 28.908247 98.459305
136: 75.274893 111.665593 136.922507
137: 60.376308 76.605181 106.965000
138: 72.293710 160.329938 61.220109
139: 69.036066 86.272339 86.956910
140: 49.759073 101.311671 57.537512
141: 133.570601 77.573368 103.741036
142: 40.146066 54.567364 66.839685
143: 92.435496 95.249065 77.946789
144: 67.953459 129.861057 86.712654
145: 19.267996 116.735687 97.900753
146: 108.234569 95.446809 145.872407
147: 124.689044 140.039793 98.280751
148: 90.338158 117.645455 62.386270
149: 84.901583 87.150433 43.258566
150: 82.652398 84.261729 115.854372
151: 107.024284 83.647667 66.968036
152: 111.078668 118.420158 81.035232
153: 142.397176 89.853207 116.819232
154: 85.580660 140.691530 110.841621
155: 88.464397 165.622265 102.100184
156: 92.117976 129.810692 71.928335
157: 65.906187 119.449318 108.885102
